name,age,categories,type,premise,hypothesis
Alice,18,middle aged,nospec,Alice is 18.,Alice is middle aged.
Alice,18,old,specified,Alice's age is 18.,Alice is old.
Alice,18,old,nospec,Alice is 18.,Alice is old.
Alice,19,young,specified,Alice's age is 19.,Alice is young.
Alice,19,young,nospec,Alice is 19.,Alice is young.
Alice,19,middle aged,specified,Alice's age is 19.,Alice is middle aged.
Alice,19,middle aged,nospec,Alice is 19.,Alice is middle aged.
Alice,19,old,specified,Alice's age is 19.,Alice is old.
Alice,19,old,nospec,Alice is 19.,Alice is old.
Alice,20,young,specified,Alice's age is 20.,Alice is young.
Alice,20,young,nospec,Alice is 20.,Alice is young.
Alice,20,middle aged,specified,Alice's age is 20.,Alice is middle aged.
Alice,20,middle aged,nospec,Alice is 20.,Alice is middle aged.
Alice,20,old,specified,Alice's age is 20.,Alice is old.
Alice,20,old,nospec,Alice is 20.,Alice is old.
Alice,21,young,specified,Alice's age is 21.,Alice is young.
Alice,21,young,nospec,Alice is 21.,Alice is young.
Alice,21,middle aged,specified,Alice's age is 21.,Alice is middle aged.
Alice,21,middle aged,nospec,Alice is 21.,Alice is middle aged.
Alice,21,old,specified,Alice's age is 21.,Alice is old.
Alice,21,old,nospec,Alice is 21.,Alice is old.
Alice,22,young,specified,Alice's age is 22.,Alice is young.
Alice,22,young,nospec,Alice is 22.,Alice is young.
Alice,22,middle aged,specified,Alice's age is 22.,Alice is middle aged.
Alice,22,middle aged,nospec,Alice is 22.,Alice is middle aged.
Alice,22,old,specified,Alice's age is 22.,Alice is old.
Alice,22,old,nospec,Alice is 22.,Alice is old.
Alice,23,young,specified,Alice's age is 23.,Alice is young.
Alice,23,young,nospec,Alice is 23.,Alice is young.
Alice,23,middle aged,specified,Alice's age is 23.,Alice is middle aged.
Alice,23,middle aged,nospec,Alice is 23.,Alice is middle aged.
Alice,23,old,specified,Alice's age is 23.,Alice is old.
Alice,23,old,nospec,Alice is 23.,Alice is old.
Alice,24,young,specified,Alice's age is 24.,Alice is young.
Alice,24,young,nospec,Alice is 24.,Alice is young.
Alice,24,middle aged,specified,Alice's age is 24.,Alice is middle aged.
Alice,24,middle aged,nospec,Alice is 24.,Alice is middle aged.
Alice,24,old,specified,Alice's age is 24.,Alice is old.
Alice,24,old,nospec,Alice is 24.,Alice is old.
Alice,25,young,specified,Alice's age is 25.,Alice is young.
Alice,25,young,nospec,Alice is 25.,Alice is young.
Alice,25,middle aged,specified,Alice's age is 25.,Alice is middle aged.
Alice,25,middle aged,nospec,Alice is 25.,Alice is middle aged.
Alice,25,old,specified,Alice's age is 25.,Alice is old.
Alice,25,old,nospec,Alice is 25.,Alice is old.
Alice,26,young,specified,Alice's age is 26.,Alice is young.
Alice,26,young,nospec,Alice is 26.,Alice is young.
Alice,26,middle aged,specified,Alice's age is 26.,Alice is middle aged.
Alice,26,middle aged,nospec,Alice is 26.,Alice is middle aged.
Alice,26,old,specified,Alice's age is 26.,Alice is old.
Alice,26,old,nospec,Alice is 26.,Alice is old.
Alice,27,young,specified,Alice's age is 27.,Alice is young.
Alice,27,young,nospec,Alice is 27.,Alice is young.
Alice,27,middle aged,specified,Alice's age is 27.,Alice is middle aged.
Alice,27,middle aged,nospec,Alice is 27.,Alice is middle aged.
Alice,27,old,specified,Alice's age is 27.,Alice is old.
Alice,27,old,nospec,Alice is 27.,Alice is old.
Alice,28,young,specified,Alice's age is 28.,Alice is young.
Alice,28,young,nospec,Alice is 28.,Alice is young.
Alice,28,middle aged,specified,Alice's age is 28.,Alice is middle aged.
Alice,28,middle aged,nospec,Alice is 28.,Alice is middle aged.
Alice,28,old,specified,Alice's age is 28.,Alice is old.
Alice,28,old,nospec,Alice is 28.,Alice is old.
Alice,29,young,specified,Alice's age is 29.,Alice is young.
Alice,29,young,nospec,Alice is 29.,Alice is young.
Alice,29,middle aged,specified,Alice's age is 29.,Alice is middle aged.
Alice,29,middle aged,nospec,Alice is 29.,Alice is middle aged.
Alice,29,old,specified,Alice's age is 29.,Alice is old.
Alice,29,old,nospec,Alice is 29.,Alice is old.
Alice,30,young,specified,Alice's age is 30.,Alice is young.
Alice,30,young,nospec,Alice is 30.,Alice is young.
Alice,30,middle aged,specified,Alice's age is 30.,Alice is middle aged.
Alice,30,middle aged,nospec,Alice is 30.,Alice is middle aged.
Alice,30,old,specified,Alice's age is 30.,Alice is old.
Alice,30,old,nospec,Alice is 30.,Alice is old.
Alice,31,young,specified,Alice's age is 31.,Alice is young.
Alice,31,young,nospec,Alice is 31.,Alice is young.
Alice,31,middle aged,specified,Alice's age is 31.,Alice is middle aged.
Alice,31,middle aged,nospec,Alice is 31.,Alice is middle aged.
Alice,31,old,specified,Alice's age is 31.,Alice is old.
Alice,31,old,nospec,Alice is 31.,Alice is old.
Alice,32,young,specified,Alice's age is 32.,Alice is young.
Alice,32,young,nospec,Alice is 32.,Alice is young.
Alice,32,middle aged,specified,Alice's age is 32.,Alice is middle aged.
Alice,32,middle aged,nospec,Alice is 32.,Alice is middle aged.
Alice,32,old,specified,Alice's age is 32.,Alice is old.
Alice,32,old,nospec,Alice is 32.,Alice is old.
Alice,33,young,specified,Alice's age is 33.,Alice is young.
Alice,33,young,nospec,Alice is 33.,Alice is young.
Alice,33,middle aged,specified,Alice's age is 33.,Alice is middle aged.
Alice,33,middle aged,nospec,Alice is 33.,Alice is middle aged.
Alice,33,old,specified,Alice's age is 33.,Alice is old.
Alice,33,old,nospec,Alice is 33.,Alice is old.
Alice,34,young,specified,Alice's age is 34.,Alice is young.
Alice,34,young,nospec,Alice is 34.,Alice is young.
Alice,34,middle aged,specified,Alice's age is 34.,Alice is middle aged.
Alice,34,middle aged,nospec,Alice is 34.,Alice is middle aged.
Alice,34,old,specified,Alice's age is 34.,Alice is old.
Alice,34,old,nospec,Alice is 34.,Alice is old.
Alice,35,young,specified,Alice's age is 35.,Alice is young.
Alice,35,young,nospec,Alice is 35.,Alice is young.
Alice,35,middle aged,specified,Alice's age is 35.,Alice is middle aged.
Alice,35,middle aged,nospec,Alice is 35.,Alice is middle aged.
Alice,35,old,specified,Alice's age is 35.,Alice is old.
Alice,35,old,nospec,Alice is 35.,Alice is old.
Alice,36,young,specified,Alice's age is 36.,Alice is young.
Alice,36,young,nospec,Alice is 36.,Alice is young.
Alice,36,middle aged,specified,Alice's age is 36.,Alice is middle aged.
Alice,36,middle aged,nospec,Alice is 36.,Alice is middle aged.
Alice,36,old,specified,Alice's age is 36.,Alice is old.
Alice,36,old,nospec,Alice is 36.,Alice is old.
Alice,37,young,specified,Alice's age is 37.,Alice is young.
Alice,37,young,nospec,Alice is 37.,Alice is young.
Alice,37,middle aged,specified,Alice's age is 37.,Alice is middle aged.
Alice,37,middle aged,nospec,Alice is 37.,Alice is middle aged.
Alice,37,old,specified,Alice's age is 37.,Alice is old.
Alice,37,old,nospec,Alice is 37.,Alice is old.
Alice,38,young,specified,Alice's age is 38.,Alice is young.
Alice,38,young,nospec,Alice is 38.,Alice is young.
Alice,38,middle aged,specified,Alice's age is 38.,Alice is middle aged.
Alice,38,middle aged,nospec,Alice is 38.,Alice is middle aged.
Alice,38,old,specified,Alice's age is 38.,Alice is old.
Alice,38,old,nospec,Alice is 38.,Alice is old.
Alice,39,young,specified,Alice's age is 39.,Alice is young.
Alice,39,young,nospec,Alice is 39.,Alice is young.
Alice,39,middle aged,specified,Alice's age is 39.,Alice is middle aged.
Alice,39,middle aged,nospec,Alice is 39.,Alice is middle aged.
Alice,39,old,specified,Alice's age is 39.,Alice is old.
Alice,39,old,nospec,Alice is 39.,Alice is old.
Alice,40,young,specified,Alice's age is 40.,Alice is young.
Alice,40,young,nospec,Alice is 40.,Alice is young.
Alice,40,middle aged,specified,Alice's age is 40.,Alice is middle aged.
Alice,40,middle aged,nospec,Alice is 40.,Alice is middle aged.
Alice,40,old,specified,Alice's age is 40.,Alice is old.
Alice,40,old,nospec,Alice is 40.,Alice is old.
Alice,41,young,specified,Alice's age is 41.,Alice is young.
Alice,41,young,nospec,Alice is 41.,Alice is young.
Alice,41,middle aged,specified,Alice's age is 41.,Alice is middle aged.
Alice,41,middle aged,nospec,Alice is 41.,Alice is middle aged.
Alice,41,old,specified,Alice's age is 41.,Alice is old.
Alice,41,old,nospec,Alice is 41.,Alice is old.
Alice,42,young,specified,Alice's age is 42.,Alice is young.
Alice,42,young,nospec,Alice is 42.,Alice is young.
Alice,42,middle aged,specified,Alice's age is 42.,Alice is middle aged.
Alice,42,middle aged,nospec,Alice is 42.,Alice is middle aged.
Alice,42,old,specified,Alice's age is 42.,Alice is old.
Alice,42,old,nospec,Alice is 42.,Alice is old.
Alice,43,young,specified,Alice's age is 43.,Alice is young.
Alice,43,young,nospec,Alice is 43.,Alice is young.
Alice,43,middle aged,specified,Alice's age is 43.,Alice is middle aged.
Alice,43,middle aged,nospec,Alice is 43.,Alice is middle aged.
Alice,43,old,specified,Alice's age is 43.,Alice is old.
Alice,43,old,nospec,Alice is 43.,Alice is old.
Alice,44,young,specified,Alice's age is 44.,Alice is young.
Alice,44,young,nospec,Alice is 44.,Alice is young.
Alice,44,middle aged,specified,Alice's age is 44.,Alice is middle aged.
Alice,44,middle aged,nospec,Alice is 44.,Alice is middle aged.
Alice,44,old,specified,Alice's age is 44.,Alice is old.
Alice,44,old,nospec,Alice is 44.,Alice is old.
Alice,45,young,specified,Alice's age is 45.,Alice is young.
Alice,45,young,nospec,Alice is 45.,Alice is young.
Alice,45,middle aged,specified,Alice's age is 45.,Alice is middle aged.
Alice,45,middle aged,nospec,Alice is 45.,Alice is middle aged.
Alice,45,old,specified,Alice's age is 45.,Alice is old.
Alice,45,old,nospec,Alice is 45.,Alice is old.
Alice,46,young,specified,Alice's age is 46.,Alice is young.
Alice,46,young,nospec,Alice is 46.,Alice is young.
Alice,46,middle aged,specified,Alice's age is 46.,Alice is middle aged.
Alice,46,middle aged,nospec,Alice is 46.,Alice is middle aged.
Alice,46,old,specified,Alice's age is 46.,Alice is old.
Alice,46,old,nospec,Alice is 46.,Alice is old.
Alice,47,young,specified,Alice's age is 47.,Alice is young.
Alice,47,young,nospec,Alice is 47.,Alice is young.
Alice,47,middle aged,specified,Alice's age is 47.,Alice is middle aged.
Alice,47,middle aged,nospec,Alice is 47.,Alice is middle aged.
Alice,47,old,specified,Alice's age is 47.,Alice is old.
Alice,47,old,nospec,Alice is 47.,Alice is old.
Alice,48,young,specified,Alice's age is 48.,Alice is young.
Alice,48,young,nospec,Alice is 48.,Alice is young.
Alice,48,middle aged,specified,Alice's age is 48.,Alice is middle aged.
Alice,48,middle aged,nospec,Alice is 48.,Alice is middle aged.
Alice,48,old,specified,Alice's age is 48.,Alice is old.
Alice,48,old,nospec,Alice is 48.,Alice is old.
Alice,49,young,specified,Alice's age is 49.,Alice is young.
Alice,49,young,nospec,Alice is 49.,Alice is young.
Alice,49,middle aged,specified,Alice's age is 49.,Alice is middle aged.
Alice,49,middle aged,nospec,Alice is 49.,Alice is middle aged.
Alice,49,old,specified,Alice's age is 49.,Alice is old.
Alice,49,old,nospec,Alice is 49.,Alice is old.
Alice,50,young,specified,Alice's age is 50.,Alice is young.
Alice,50,young,nospec,Alice is 50.,Alice is young.
Alice,50,middle aged,specified,Alice's age is 50.,Alice is middle aged.
Alice,50,middle aged,nospec,Alice is 50.,Alice is middle aged.
Alice,50,old,specified,Alice's age is 50.,Alice is old.
Alice,50,old,nospec,Alice is 50.,Alice is old.
Alice,51,young,specified,Alice's age is 51.,Alice is young.
Alice,51,young,nospec,Alice is 51.,Alice is young.
Alice,51,middle aged,specified,Alice's age is 51.,Alice is middle aged.
Alice,51,middle aged,nospec,Alice is 51.,Alice is middle aged.
Alice,51,old,specified,Alice's age is 51.,Alice is old.
Alice,51,old,nospec,Alice is 51.,Alice is old.
Alice,52,young,specified,Alice's age is 52.,Alice is young.
Alice,52,young,nospec,Alice is 52.,Alice is young.
Alice,52,middle aged,specified,Alice's age is 52.,Alice is middle aged.
Alice,52,middle aged,nospec,Alice is 52.,Alice is middle aged.
Alice,52,old,specified,Alice's age is 52.,Alice is old.
Alice,52,old,nospec,Alice is 52.,Alice is old.
Alice,53,young,specified,Alice's age is 53.,Alice is young.
Alice,53,young,nospec,Alice is 53.,Alice is young.
Alice,53,middle aged,specified,Alice's age is 53.,Alice is middle aged.
Alice,53,middle aged,nospec,Alice is 53.,Alice is middle aged.
Alice,53,old,specified,Alice's age is 53.,Alice is old.
Alice,53,old,nospec,Alice is 53.,Alice is old.
Alice,54,young,specified,Alice's age is 54.,Alice is young.
Alice,54,young,nospec,Alice is 54.,Alice is young.
Alice,54,middle aged,specified,Alice's age is 54.,Alice is middle aged.
Alice,54,middle aged,nospec,Alice is 54.,Alice is middle aged.
Alice,54,old,specified,Alice's age is 54.,Alice is old.
Alice,54,old,nospec,Alice is 54.,Alice is old.
Alice,55,young,specified,Alice's age is 55.,Alice is young.
Alice,55,young,nospec,Alice is 55.,Alice is young.
Alice,55,middle aged,specified,Alice's age is 55.,Alice is middle aged.
Alice,55,middle aged,nospec,Alice is 55.,Alice is middle aged.
Alice,55,old,specified,Alice's age is 55.,Alice is old.
Alice,55,old,nospec,Alice is 55.,Alice is old.
Alice,56,young,specified,Alice's age is 56.,Alice is young.
Alice,56,young,nospec,Alice is 56.,Alice is young.
Alice,56,middle aged,specified,Alice's age is 56.,Alice is middle aged.
Alice,56,middle aged,nospec,Alice is 56.,Alice is middle aged.
Alice,56,old,specified,Alice's age is 56.,Alice is old.
Alice,56,old,nospec,Alice is 56.,Alice is old.
Alice,57,young,specified,Alice's age is 57.,Alice is young.
Alice,57,young,nospec,Alice is 57.,Alice is young.
Alice,57,middle aged,specified,Alice's age is 57.,Alice is middle aged.
Alice,57,middle aged,nospec,Alice is 57.,Alice is middle aged.
Alice,57,old,specified,Alice's age is 57.,Alice is old.
Alice,57,old,nospec,Alice is 57.,Alice is old.
Alice,58,young,specified,Alice's age is 58.,Alice is young.
Alice,58,young,nospec,Alice is 58.,Alice is young.
Alice,58,middle aged,specified,Alice's age is 58.,Alice is middle aged.
Alice,58,middle aged,nospec,Alice is 58.,Alice is middle aged.
Alice,58,old,specified,Alice's age is 58.,Alice is old.
Alice,58,old,nospec,Alice is 58.,Alice is old.
Alice,59,young,specified,Alice's age is 59.,Alice is young.
Alice,59,young,nospec,Alice is 59.,Alice is young.
Alice,59,middle aged,specified,Alice's age is 59.,Alice is middle aged.
Alice,59,middle aged,nospec,Alice is 59.,Alice is middle aged.
Alice,59,old,specified,Alice's age is 59.,Alice is old.
Alice,59,old,nospec,Alice is 59.,Alice is old.
Alice,60,young,specified,Alice's age is 60.,Alice is young.
Alice,60,young,nospec,Alice is 60.,Alice is young.
Alice,60,middle aged,specified,Alice's age is 60.,Alice is middle aged.
Alice,60,middle aged,nospec,Alice is 60.,Alice is middle aged.
Alice,60,old,specified,Alice's age is 60.,Alice is old.
Alice,60,old,nospec,Alice is 60.,Alice is old.
Alice,61,young,specified,Alice's age is 61.,Alice is young.
Alice,61,young,nospec,Alice is 61.,Alice is young.
Alice,61,middle aged,specified,Alice's age is 61.,Alice is middle aged.
Alice,61,middle aged,nospec,Alice is 61.,Alice is middle aged.
Alice,61,old,specified,Alice's age is 61.,Alice is old.
Alice,61,old,nospec,Alice is 61.,Alice is old.
Alice,62,young,specified,Alice's age is 62.,Alice is young.
Alice,62,young,nospec,Alice is 62.,Alice is young.
Alice,62,middle aged,specified,Alice's age is 62.,Alice is middle aged.
Alice,62,middle aged,nospec,Alice is 62.,Alice is middle aged.
Alice,62,old,specified,Alice's age is 62.,Alice is old.
Alice,62,old,nospec,Alice is 62.,Alice is old.
Alice,63,young,specified,Alice's age is 63.,Alice is young.
Alice,63,young,nospec,Alice is 63.,Alice is young.
Alice,63,middle aged,specified,Alice's age is 63.,Alice is middle aged.
Alice,63,middle aged,nospec,Alice is 63.,Alice is middle aged.
Alice,63,old,specified,Alice's age is 63.,Alice is old.
Alice,63,old,nospec,Alice is 63.,Alice is old.
Alice,64,young,specified,Alice's age is 64.,Alice is young.
Alice,64,young,nospec,Alice is 64.,Alice is young.
Alice,64,middle aged,specified,Alice's age is 64.,Alice is middle aged.
Alice,64,middle aged,nospec,Alice is 64.,Alice is middle aged.
Alice,64,old,specified,Alice's age is 64.,Alice is old.
Alice,64,old,nospec,Alice is 64.,Alice is old.
Alice,65,young,specified,Alice's age is 65.,Alice is young.
Alice,65,young,nospec,Alice is 65.,Alice is young.
Alice,65,middle aged,specified,Alice's age is 65.,Alice is middle aged.
Alice,65,middle aged,nospec,Alice is 65.,Alice is middle aged.
Alice,65,old,specified,Alice's age is 65.,Alice is old.
Alice,65,old,nospec,Alice is 65.,Alice is old.
Alice,66,young,specified,Alice's age is 66.,Alice is young.
Alice,66,young,nospec,Alice is 66.,Alice is young.
Alice,66,middle aged,specified,Alice's age is 66.,Alice is middle aged.
Alice,66,middle aged,nospec,Alice is 66.,Alice is middle aged.
Alice,66,old,specified,Alice's age is 66.,Alice is old.
Alice,66,old,nospec,Alice is 66.,Alice is old.
Alice,67,young,specified,Alice's age is 67.,Alice is young.
Alice,67,young,nospec,Alice is 67.,Alice is young.
Alice,67,middle aged,specified,Alice's age is 67.,Alice is middle aged.
Alice,67,middle aged,nospec,Alice is 67.,Alice is middle aged.
Alice,67,old,specified,Alice's age is 67.,Alice is old.
Alice,67,old,nospec,Alice is 67.,Alice is old.
Alice,68,young,specified,Alice's age is 68.,Alice is young.
Alice,68,young,nospec,Alice is 68.,Alice is young.
Alice,68,middle aged,specified,Alice's age is 68.,Alice is middle aged.
Alice,68,middle aged,nospec,Alice is 68.,Alice is middle aged.
Alice,68,old,specified,Alice's age is 68.,Alice is old.
Alice,68,old,nospec,Alice is 68.,Alice is old.
Alice,69,young,specified,Alice's age is 69.,Alice is young.
Alice,69,young,nospec,Alice is 69.,Alice is young.
Alice,69,middle aged,specified,Alice's age is 69.,Alice is middle aged.
Alice,69,middle aged,nospec,Alice is 69.,Alice is middle aged.
Alice,69,old,specified,Alice's age is 69.,Alice is old.
Alice,69,old,nospec,Alice is 69.,Alice is old.
Alice,70,young,specified,Alice's age is 70.,Alice is young.
Alice,70,young,nospec,Alice is 70.,Alice is young.
Alice,70,middle aged,specified,Alice's age is 70.,Alice is middle aged.
Alice,70,middle aged,nospec,Alice is 70.,Alice is middle aged.
Alice,70,old,specified,Alice's age is 70.,Alice is old.
Alice,70,old,nospec,Alice is 70.,Alice is old.
Alice,71,young,specified,Alice's age is 71.,Alice is young.
Alice,71,young,nospec,Alice is 71.,Alice is young.
Alice,71,middle aged,specified,Alice's age is 71.,Alice is middle aged.
Alice,71,middle aged,nospec,Alice is 71.,Alice is middle aged.
Alice,71,old,specified,Alice's age is 71.,Alice is old.
Alice,71,old,nospec,Alice is 71.,Alice is old.
Alice,72,young,specified,Alice's age is 72.,Alice is young.
Alice,72,young,nospec,Alice is 72.,Alice is young.
Alice,72,middle aged,specified,Alice's age is 72.,Alice is middle aged.
Alice,72,middle aged,nospec,Alice is 72.,Alice is middle aged.
Alice,72,old,specified,Alice's age is 72.,Alice is old.
Alice,72,old,nospec,Alice is 72.,Alice is old.
Alice,73,young,specified,Alice's age is 73.,Alice is young.
Alice,73,young,nospec,Alice is 73.,Alice is young.
Alice,73,middle aged,specified,Alice's age is 73.,Alice is middle aged.
Alice,73,middle aged,nospec,Alice is 73.,Alice is middle aged.
Alice,73,old,specified,Alice's age is 73.,Alice is old.
Alice,73,old,nospec,Alice is 73.,Alice is old.
Alice,74,young,specified,Alice's age is 74.,Alice is young.
Alice,74,young,nospec,Alice is 74.,Alice is young.
Alice,74,middle aged,specified,Alice's age is 74.,Alice is middle aged.
Alice,74,middle aged,nospec,Alice is 74.,Alice is middle aged.
Alice,74,old,specified,Alice's age is 74.,Alice is old.
Alice,74,old,nospec,Alice is 74.,Alice is old.
Alice,75,young,specified,Alice's age is 75.,Alice is young.
Alice,75,young,nospec,Alice is 75.,Alice is young.
Alice,75,middle aged,specified,Alice's age is 75.,Alice is middle aged.
Alice,75,middle aged,nospec,Alice is 75.,Alice is middle aged.
Alice,75,old,specified,Alice's age is 75.,Alice is old.
Alice,75,old,nospec,Alice is 75.,Alice is old.
Alice,76,young,specified,Alice's age is 76.,Alice is young.
Alice,76,young,nospec,Alice is 76.,Alice is young.
Alice,76,middle aged,specified,Alice's age is 76.,Alice is middle aged.
Alice,76,middle aged,nospec,Alice is 76.,Alice is middle aged.
Alice,76,old,specified,Alice's age is 76.,Alice is old.
Alice,76,old,nospec,Alice is 76.,Alice is old.
Alice,77,young,specified,Alice's age is 77.,Alice is young.
Alice,77,young,nospec,Alice is 77.,Alice is young.
Alice,77,middle aged,specified,Alice's age is 77.,Alice is middle aged.
Alice,77,middle aged,nospec,Alice is 77.,Alice is middle aged.
Alice,77,old,specified,Alice's age is 77.,Alice is old.
Alice,77,old,nospec,Alice is 77.,Alice is old.
Alice,78,young,specified,Alice's age is 78.,Alice is young.
Alice,78,young,nospec,Alice is 78.,Alice is young.
Alice,78,middle aged,specified,Alice's age is 78.,Alice is middle aged.
Alice,78,middle aged,nospec,Alice is 78.,Alice is middle aged.
Alice,78,old,specified,Alice's age is 78.,Alice is old.
Alice,78,old,nospec,Alice is 78.,Alice is old.
Alice,79,young,specified,Alice's age is 79.,Alice is young.
Alice,79,young,nospec,Alice is 79.,Alice is young.
Alice,79,middle aged,specified,Alice's age is 79.,Alice is middle aged.
Alice,79,middle aged,nospec,Alice is 79.,Alice is middle aged.
Alice,79,old,specified,Alice's age is 79.,Alice is old.
