name,feet,inches,categories,premise,hypothesis
Alice,4,9,short,Alice's height is 4 feet 9 inches.,Alice is short.
Alice,4,10,tall,Alice's height is 4 feet 10 inches.,Alice is tall.
Alice,4,10,short,Alice's height is 4 feet 10 inches.,Alice is short.
Alice,4,11,tall,Alice's height is 4 feet 11 inches.,Alice is tall.
Alice,4,11,short,Alice's height is 4 feet 11 inches.,Alice is short.
Alice,5,1,tall,Alice's height is 5 feet 1 inches.,Alice is tall.
Alice,5,1,short,Alice's height is 5 feet 1 inches.,Alice is short.
Alice,5,2,tall,Alice's height is 5 feet 2 inches.,Alice is tall.
Alice,5,2,short,Alice's height is 5 feet 2 inches.,Alice is short.
Alice,5,3,tall,Alice's height is 5 feet 3 inches.,Alice is tall.
Alice,5,3,short,Alice's height is 5 feet 3 inches.,Alice is short.
Alice,5,4,tall,Alice's height is 5 feet 4 inches.,Alice is tall.
Alice,5,4,short,Alice's height is 5 feet 4 inches.,Alice is short.
Alice,5,5,tall,Alice's height is 5 feet 5 inches.,Alice is tall.
Alice,5,5,short,Alice's height is 5 feet 5 inches.,Alice is short.
Alice,5,6,tall,Alice's height is 5 feet 6 inches.,Alice is tall.
Alice,5,6,short,Alice's height is 5 feet 6 inches.,Alice is short.
Alice,5,7,tall,Alice's height is 5 feet 7 inches.,Alice is tall.
Alice,5,7,short,Alice's height is 5 feet 7 inches.,Alice is short.
Alice,5,8,tall,Alice's height is 5 feet 8 inches.,Alice is tall.
Alice,5,8,short,Alice's height is 5 feet 8 inches.,Alice is short.
Alice,5,9,tall,Alice's height is 5 feet 9 inches.,Alice is tall.
Alice,5,9,short,Alice's height is 5 feet 9 inches.,Alice is short.
Alice,5,10,tall,Alice's height is 5 feet 10 inches.,Alice is tall.
Alice,5,10,short,Alice's height is 5 feet 10 inches.,Alice is short.
Alice,5,11,tall,Alice's height is 5 feet 11 inches.,Alice is tall.
Alice,5,11,short,Alice's height is 5 feet 11 inches.,Alice is short.
Alice,6,1,tall,Alice's height is 6 feet 1 inches.,Alice is tall.
Alice,6,1,short,Alice's height is 6 feet 1 inches.,Alice is short.
Alice,6,2,tall,Alice's height is 6 feet 2 inches.,Alice is tall.
Alice,6,2,short,Alice's height is 6 feet 2 inches.,Alice is short.
Alice,6,3,tall,Alice's height is 6 feet 3 inches.,Alice is tall.
Alice,6,3,short,Alice's height is 6 feet 3 inches.,Alice is short.
Alice,6,4,tall,Alice's height is 6 feet 4 inches.,Alice is tall.
Alice,6,4,short,Alice's height is 6 feet 4 inches.,Alice is short.
Alice,6,5,tall,Alice's height is 6 feet 5 inches.,Alice is tall.
Alice,6,5,short,Alice's height is 6 feet 5 inches.,Alice is short.
Alice,6,6,tall,Alice's height is 6 feet 6 inches.,Alice is tall.
Alice,6,6,short,Alice's height is 6 feet 6 inches.,Alice is short.
Alice,6,7,tall,Alice's height is 6 feet 7 inches.,Alice is tall.
Alice,6,7,short,Alice's height is 6 feet 7 inches.,Alice is short.
Alice,6,8,tall,Alice's height is 6 feet 8 inches.,Alice is tall.
Alice,6,8,short,Alice's height is 6 feet 8 inches.,Alice is short.
Alice,6,9,tall,Alice's height is 6 feet 9 inches.,Alice is tall.
Alice,6,9,short,Alice's height is 6 feet 9 inches.,Alice is short.
Alice,6,10,tall,Alice's height is 6 feet 10 inches.,Alice is tall.
Alice,6,10,short,Alice's height is 6 feet 10 inches.,Alice is short.
Alice,6,11,tall,Alice's height is 6 feet 11 inches.,Alice is tall.
Alice,6,11,short,Alice's height is 6 feet 11 inches.,Alice is short.
Alice,7,1,tall,Alice's height is 7 feet 1 inches.,Alice is tall.
Alice,7,1,short,Alice's height is 7 feet 1 inches.,Alice is short.
Alice,7,2,tall,Alice's height is 7 feet 2 inches.,Alice is tall.
Alice,7,2,short,Alice's height is 7 feet 2 inches.,Alice is short.
Alice,7,3,tall,Alice's height is 7 feet 3 inches.,Alice is tall.
Alice,7,3,short,Alice's height is 7 feet 3 inches.,Alice is short.
Alice,7,4,tall,Alice's height is 7 feet 4 inches.,Alice is tall.
Alice,7,4,short,Alice's height is 7 feet 4 inches.,Alice is short.
Alice,7,5,tall,Alice's height is 7 feet 5 inches.,Alice is tall.
Alice,7,5,short,Alice's height is 7 feet 5 inches.,Alice is short.
Alice,7,6,tall,Alice's height is 7 feet 6 inches.,Alice is tall.
Alice,7,6,short,Alice's height is 7 feet 6 inches.,Alice is short.
Alice,7,7,tall,Alice's height is 7 feet 7 inches.,Alice is tall.
Alice,7,7,short,Alice's height is 7 feet 7 inches.,Alice is short.
Alice,7,8,tall,Alice's height is 7 feet 8 inches.,Alice is tall.
Alice,7,8,short,Alice's height is 7 feet 8 inches.,Alice is short.
Alice,7,9,tall,Alice's height is 7 feet 9 inches.,Alice is tall.
Alice,7,9,short,Alice's height is 7 feet 9 inches.,Alice is short.
Alice,7,10,tall,Alice's height is 7 feet 10 inches.,Alice is tall.
Alice,7,10,short,Alice's height is 7 feet 10 inches.,Alice is short.
Alice,7,11,tall,Alice's height is 7 feet 11 inches.,Alice is tall.
Alice,7,11,short,Alice's height is 7 feet 11 inches.,Alice is short.
Alice,8,1,tall,Alice's height is 8 feet 1 inches.,Alice is tall.
Alice,8,1,short,Alice's height is 8 feet 1 inches.,Alice is short.
Alice,8,2,tall,Alice's height is 8 feet 2 inches.,Alice is tall.
Alice,8,2,short,Alice's height is 8 feet 2 inches.,Alice is short.
Alice,8,3,tall,Alice's height is 8 feet 3 inches.,Alice is tall.
Alice,8,3,short,Alice's height is 8 feet 3 inches.,Alice is short.
Alice,8,4,tall,Alice's height is 8 feet 4 inches.,Alice is tall.
Alice,8,4,short,Alice's height is 8 feet 4 inches.,Alice is short.
Alice,8,5,tall,Alice's height is 8 feet 5 inches.,Alice is tall.
Alice,8,5,short,Alice's height is 8 feet 5 inches.,Alice is short.
Alice,8,6,tall,Alice's height is 8 feet 6 inches.,Alice is tall.
Alice,8,6,short,Alice's height is 8 feet 6 inches.,Alice is short.
Alice,8,7,tall,Alice's height is 8 feet 7 inches.,Alice is tall.
Alice,8,7,short,Alice's height is 8 feet 7 inches.,Alice is short.
Alice,8,8,tall,Alice's height is 8 feet 8 inches.,Alice is tall.
Alice,8,8,short,Alice's height is 8 feet 8 inches.,Alice is short.
Alice,8,9,tall,Alice's height is 8 feet 9 inches.,Alice is tall.
Alice,8,9,short,Alice's height is 8 feet 9 inches.,Alice is short.
Alice,8,10,tall,Alice's height is 8 feet 10 inches.,Alice is tall.
Alice,8,10,short,Alice's height is 8 feet 10 inches.,Alice is short.
Alice,8,11,tall,Alice's height is 8 feet 11 inches.,Alice is tall.
Alice,8,11,short,Alice's height is 8 feet 11 inches.,Alice is short.
Amanda,2,1,tall,Amanda's height is 2 feet 1 inches.,Amanda is tall.
Amanda,2,1,short,Amanda's height is 2 feet 1 inches.,Amanda is short.
Amanda,2,2,tall,Amanda's height is 2 feet 2 inches.,Amanda is tall.
Amanda,2,2,short,Amanda's height is 2 feet 2 inches.,Amanda is short.
Amanda,2,3,tall,Amanda's height is 2 feet 3 inches.,Amanda is tall.
Amanda,2,3,short,Amanda's height is 2 feet 3 inches.,Amanda is short.
Amanda,2,4,tall,Amanda's height is 2 feet 4 inches.,Amanda is tall.
Amanda,2,4,short,Amanda's height is 2 feet 4 inches.,Amanda is short.
Amanda,2,5,tall,Amanda's height is 2 feet 5 inches.,Amanda is tall.
Amanda,2,5,short,Amanda's height is 2 feet 5 inches.,Amanda is short.
Amanda,2,6,tall,Amanda's height is 2 feet 6 inches.,Amanda is tall.
Amanda,2,6,short,Amanda's height is 2 feet 6 inches.,Amanda is short.
Amanda,2,7,tall,Amanda's height is 2 feet 7 inches.,Amanda is tall.
Amanda,2,7,short,Amanda's height is 2 feet 7 inches.,Amanda is short.
Amanda,2,8,tall,Amanda's height is 2 feet 8 inches.,Amanda is tall.
Amanda,2,8,short,Amanda's height is 2 feet 8 inches.,Amanda is short.
Amanda,2,9,tall,Amanda's height is 2 feet 9 inches.,Amanda is tall.
Amanda,2,9,short,Amanda's height is 2 feet 9 inches.,Amanda is short.
Amanda,2,10,tall,Amanda's height is 2 feet 10 inches.,Amanda is tall.
Amanda,2,10,short,Amanda's height is 2 feet 10 inches.,Amanda is short.
Amanda,2,11,tall,Amanda's height is 2 feet 11 inches.,Amanda is tall.
Amanda,2,11,short,Amanda's height is 2 feet 11 inches.,Amanda is short.
Amanda,3,1,tall,Amanda's height is 3 feet 1 inches.,Amanda is tall.
Amanda,3,1,short,Amanda's height is 3 feet 1 inches.,Amanda is short.
Amanda,3,2,tall,Amanda's height is 3 feet 2 inches.,Amanda is tall.
Amanda,3,2,short,Amanda's height is 3 feet 2 inches.,Amanda is short.
Amanda,3,3,tall,Amanda's height is 3 feet 3 inches.,Amanda is tall.
Amanda,3,3,short,Amanda's height is 3 feet 3 inches.,Amanda is short.
Amanda,3,4,tall,Amanda's height is 3 feet 4 inches.,Amanda is tall.
Amanda,3,4,short,Amanda's height is 3 feet 4 inches.,Amanda is short.
Amanda,3,5,tall,Amanda's height is 3 feet 5 inches.,Amanda is tall.
Amanda,3,5,short,Amanda's height is 3 feet 5 inches.,Amanda is short.
Amanda,3,6,tall,Amanda's height is 3 feet 6 inches.,Amanda is tall.
Amanda,3,6,short,Amanda's height is 3 feet 6 inches.,Amanda is short.
Amanda,3,7,tall,Amanda's height is 3 feet 7 inches.,Amanda is tall.
Amanda,3,7,short,Amanda's height is 3 feet 7 inches.,Amanda is short.
Amanda,3,8,tall,Amanda's height is 3 feet 8 inches.,Amanda is tall.
Amanda,3,8,short,Amanda's height is 3 feet 8 inches.,Amanda is short.
Amanda,3,9,tall,Amanda's height is 3 feet 9 inches.,Amanda is tall.
Amanda,3,9,short,Amanda's height is 3 feet 9 inches.,Amanda is short.
Amanda,3,10,tall,Amanda's height is 3 feet 10 inches.,Amanda is tall.
Amanda,3,10,short,Amanda's height is 3 feet 10 inches.,Amanda is short.
Amanda,3,11,tall,Amanda's height is 3 feet 11 inches.,Amanda is tall.
Amanda,3,11,short,Amanda's height is 3 feet 11 inches.,Amanda is short.
Amanda,4,1,tall,Amanda's height is 4 feet 1 inches.,Amanda is tall.
Amanda,4,1,short,Amanda's height is 4 feet 1 inches.,Amanda is short.
Amanda,4,2,tall,Amanda's height is 4 feet 2 inches.,Amanda is tall.
Amanda,4,2,short,Amanda's height is 4 feet 2 inches.,Amanda is short.
Amanda,4,3,tall,Amanda's height is 4 feet 3 inches.,Amanda is tall.
Amanda,4,3,short,Amanda's height is 4 feet 3 inches.,Amanda is short.
Amanda,4,4,tall,Amanda's height is 4 feet 4 inches.,Amanda is tall.
Amanda,4,4,short,Amanda's height is 4 feet 4 inches.,Amanda is short.
Amanda,4,5,tall,Amanda's height is 4 feet 5 inches.,Amanda is tall.
Amanda,4,5,short,Amanda's height is 4 feet 5 inches.,Amanda is short.
Amanda,4,6,tall,Amanda's height is 4 feet 6 inches.,Amanda is tall.
Amanda,4,6,short,Amanda's height is 4 feet 6 inches.,Amanda is short.
Amanda,4,7,tall,Amanda's height is 4 feet 7 inches.,Amanda is tall.
Amanda,4,7,short,Amanda's height is 4 feet 7 inches.,Amanda is short.
Amanda,4,8,tall,Amanda's height is 4 feet 8 inches.,Amanda is tall.
Amanda,4,8,short,Amanda's height is 4 feet 8 inches.,Amanda is short.
Amanda,4,9,tall,Amanda's height is 4 feet 9 inches.,Amanda is tall.
Amanda,4,9,short,Amanda's height is 4 feet 9 inches.,Amanda is short.
Amanda,4,10,tall,Amanda's height is 4 feet 10 inches.,Amanda is tall.
Amanda,4,10,short,Amanda's height is 4 feet 10 inches.,Amanda is short.
Amanda,4,11,tall,Amanda's height is 4 feet 11 inches.,Amanda is tall.
Amanda,4,11,short,Amanda's height is 4 feet 11 inches.,Amanda is short.
Amanda,5,1,tall,Amanda's height is 5 feet 1 inches.,Amanda is tall.
Amanda,5,1,short,Amanda's height is 5 feet 1 inches.,Amanda is short.
Amanda,5,2,tall,Amanda's height is 5 feet 2 inches.,Amanda is tall.
Amanda,5,2,short,Amanda's height is 5 feet 2 inches.,Amanda is short.
Amanda,5,3,tall,Amanda's height is 5 feet 3 inches.,Amanda is tall.
Amanda,5,3,short,Amanda's height is 5 feet 3 inches.,Amanda is short.
Amanda,5,4,tall,Amanda's height is 5 feet 4 inches.,Amanda is tall.
Amanda,5,4,short,Amanda's height is 5 feet 4 inches.,Amanda is short.
Amanda,5,5,tall,Amanda's height is 5 feet 5 inches.,Amanda is tall.
Amanda,5,5,short,Amanda's height is 5 feet 5 inches.,Amanda is short.
Amanda,5,6,tall,Amanda's height is 5 feet 6 inches.,Amanda is tall.
Amanda,5,6,short,Amanda's height is 5 feet 6 inches.,Amanda is short.
Amanda,5,7,tall,Amanda's height is 5 feet 7 inches.,Amanda is tall.
Amanda,5,7,short,Amanda's height is 5 feet 7 inches.,Amanda is short.
Amanda,5,8,tall,Amanda's height is 5 feet 8 inches.,Amanda is tall.
Amanda,5,8,short,Amanda's height is 5 feet 8 inches.,Amanda is short.
Amanda,5,9,tall,Amanda's height is 5 feet 9 inches.,Amanda is tall.
Amanda,5,9,short,Amanda's height is 5 feet 9 inches.,Amanda is short.
Amanda,5,10,tall,Amanda's height is 5 feet 10 inches.,Amanda is tall.
Amanda,5,10,short,Amanda's height is 5 feet 10 inches.,Amanda is short.
Amanda,5,11,tall,Amanda's height is 5 feet 11 inches.,Amanda is tall.
Amanda,5,11,short,Amanda's height is 5 feet 11 inches.,Amanda is short.
Amanda,6,1,tall,Amanda's height is 6 feet 1 inches.,Amanda is tall.
Amanda,6,1,short,Amanda's height is 6 feet 1 inches.,Amanda is short.
Amanda,6,2,tall,Amanda's height is 6 feet 2 inches.,Amanda is tall.
Amanda,6,2,short,Amanda's height is 6 feet 2 inches.,Amanda is short.
Amanda,6,3,tall,Amanda's height is 6 feet 3 inches.,Amanda is tall.
Amanda,6,3,short,Amanda's height is 6 feet 3 inches.,Amanda is short.
Amanda,6,4,tall,Amanda's height is 6 feet 4 inches.,Amanda is tall.
Amanda,6,4,short,Amanda's height is 6 feet 4 inches.,Amanda is short.
Amanda,6,5,tall,Amanda's height is 6 feet 5 inches.,Amanda is tall.
Amanda,6,5,short,Amanda's height is 6 feet 5 inches.,Amanda is short.
Amanda,6,6,tall,Amanda's height is 6 feet 6 inches.,Amanda is tall.
Amanda,6,6,short,Amanda's height is 6 feet 6 inches.,Amanda is short.
Amanda,6,7,tall,Amanda's height is 6 feet 7 inches.,Amanda is tall.
Amanda,6,7,short,Amanda's height is 6 feet 7 inches.,Amanda is short.
Amanda,6,8,tall,Amanda's height is 6 feet 8 inches.,Amanda is tall.
Amanda,6,8,short,Amanda's height is 6 feet 8 inches.,Amanda is short.
Amanda,6,9,tall,Amanda's height is 6 feet 9 inches.,Amanda is tall.
Amanda,6,9,short,Amanda's height is 6 feet 9 inches.,Amanda is short.
Amanda,6,10,tall,Amanda's height is 6 feet 10 inches.,Amanda is tall.
Amanda,6,10,short,Amanda's height is 6 feet 10 inches.,Amanda is short.
Amanda,6,11,tall,Amanda's height is 6 feet 11 inches.,Amanda is tall.
Amanda,6,11,short,Amanda's height is 6 feet 11 inches.,Amanda is short.
Amanda,7,1,tall,Amanda's height is 7 feet 1 inches.,Amanda is tall.
Amanda,7,1,short,Amanda's height is 7 feet 1 inches.,Amanda is short.
Amanda,7,2,tall,Amanda's height is 7 feet 2 inches.,Amanda is tall.
Amanda,7,2,short,Amanda's height is 7 feet 2 inches.,Amanda is short.
Amanda,7,3,tall,Amanda's height is 7 feet 3 inches.,Amanda is tall.
Amanda,7,3,short,Amanda's height is 7 feet 3 inches.,Amanda is short.
Amanda,7,4,tall,Amanda's height is 7 feet 4 inches.,Amanda is tall.
Amanda,7,4,short,Amanda's height is 7 feet 4 inches.,Amanda is short.
Amanda,7,5,tall,Amanda's height is 7 feet 5 inches.,Amanda is tall.
Amanda,7,5,short,Amanda's height is 7 feet 5 inches.,Amanda is short.
Amanda,7,6,tall,Amanda's height is 7 feet 6 inches.,Amanda is tall.
Amanda,7,6,short,Amanda's height is 7 feet 6 inches.,Amanda is short.
Amanda,7,7,tall,Amanda's height is 7 feet 7 inches.,Amanda is tall.
Amanda,7,7,short,Amanda's height is 7 feet 7 inches.,Amanda is short.
Amanda,7,8,tall,Amanda's height is 7 feet 8 inches.,Amanda is tall.
Amanda,7,8,short,Amanda's height is 7 feet 8 inches.,Amanda is short.
Amanda,7,9,tall,Amanda's height is 7 feet 9 inches.,Amanda is tall.
Amanda,7,9,short,Amanda's height is 7 feet 9 inches.,Amanda is short.
Amanda,7,10,tall,Amanda's height is 7 feet 10 inches.,Amanda is tall.
Amanda,7,10,short,Amanda's height is 7 feet 10 inches.,Amanda is short.
Amanda,7,11,tall,Amanda's height is 7 feet 11 inches.,Amanda is tall.
Amanda,7,11,short,Amanda's height is 7 feet 11 inches.,Amanda is short.
Amanda,8,1,tall,Amanda's height is 8 feet 1 inches.,Amanda is tall.
Amanda,8,1,short,Amanda's height is 8 feet 1 inches.,Amanda is short.
Amanda,8,2,tall,Amanda's height is 8 feet 2 inches.,Amanda is tall.
Amanda,8,2,short,Amanda's height is 8 feet 2 inches.,Amanda is short.
Amanda,8,3,tall,Amanda's height is 8 feet 3 inches.,Amanda is tall.
Amanda,8,3,short,Amanda's height is 8 feet 3 inches.,Amanda is short.
Amanda,8,4,tall,Amanda's height is 8 feet 4 inches.,Amanda is tall.
Amanda,8,4,short,Amanda's height is 8 feet 4 inches.,Amanda is short.
Amanda,8,5,tall,Amanda's height is 8 feet 5 inches.,Amanda is tall.
Amanda,8,5,short,Amanda's height is 8 feet 5 inches.,Amanda is short.
Amanda,8,6,tall,Amanda's height is 8 feet 6 inches.,Amanda is tall.
Amanda,8,6,short,Amanda's height is 8 feet 6 inches.,Amanda is short.
Amanda,8,7,tall,Amanda's height is 8 feet 7 inches.,Amanda is tall.
Amanda,8,7,short,Amanda's height is 8 feet 7 inches.,Amanda is short.
Amanda,8,8,tall,Amanda's height is 8 feet 8 inches.,Amanda is tall.
Amanda,8,8,short,Amanda's height is 8 feet 8 inches.,Amanda is short.
Amanda,8,9,tall,Amanda's height is 8 feet 9 inches.,Amanda is tall.
Amanda,8,9,short,Amanda's height is 8 feet 9 inches.,Amanda is short.
Amanda,8,10,tall,Amanda's height is 8 feet 10 inches.,Amanda is tall.
Amanda,8,10,short,Amanda's height is 8 feet 10 inches.,Amanda is short.
Amanda,8,11,tall,Amanda's height is 8 feet 11 inches.,Amanda is tall.
Amanda,8,11,short,Amanda's height is 8 feet 11 inches.,Amanda is short.
Amy,2,1,tall,Amy's height is 2 feet 1 inches.,Amy is tall.
Amy,2,1,short,Amy's height is 2 feet 1 inches.,Amy is short.
Amy,2,2,tall,Amy's height is 2 feet 2 inches.,Amy is tall.
Amy,2,2,short,Amy's height is 2 feet 2 inches.,Amy is short.
Amy,2,3,tall,Amy's height is 2 feet 3 inches.,Amy is tall.
Amy,2,3,short,Amy's height is 2 feet 3 inches.,Amy is short.
Amy,2,4,tall,Amy's height is 2 feet 4 inches.,Amy is tall.
Amy,2,4,short,Amy's height is 2 feet 4 inches.,Amy is short.
Amy,2,5,tall,Amy's height is 2 feet 5 inches.,Amy is tall.
Amy,2,5,short,Amy's height is 2 feet 5 inches.,Amy is short.
Amy,2,6,tall,Amy's height is 2 feet 6 inches.,Amy is tall.
Amy,2,6,short,Amy's height is 2 feet 6 inches.,Amy is short.
Amy,2,7,tall,Amy's height is 2 feet 7 inches.,Amy is tall.
Amy,2,7,short,Amy's height is 2 feet 7 inches.,Amy is short.
Amy,2,8,tall,Amy's height is 2 feet 8 inches.,Amy is tall.
Amy,2,8,short,Amy's height is 2 feet 8 inches.,Amy is short.
Amy,2,9,tall,Amy's height is 2 feet 9 inches.,Amy is tall.
Amy,2,9,short,Amy's height is 2 feet 9 inches.,Amy is short.
Amy,2,10,tall,Amy's height is 2 feet 10 inches.,Amy is tall.
Amy,2,10,short,Amy's height is 2 feet 10 inches.,Amy is short.
Amy,2,11,tall,Amy's height is 2 feet 11 inches.,Amy is tall.
Amy,2,11,short,Amy's height is 2 feet 11 inches.,Amy is short.
Amy,3,1,tall,Amy's height is 3 feet 1 inches.,Amy is tall.
Amy,3,1,short,Amy's height is 3 feet 1 inches.,Amy is short.
Amy,3,2,tall,Amy's height is 3 feet 2 inches.,Amy is tall.
Amy,3,2,short,Amy's height is 3 feet 2 inches.,Amy is short.
Amy,3,3,tall,Amy's height is 3 feet 3 inches.,Amy is tall.
Amy,3,3,short,Amy's height is 3 feet 3 inches.,Amy is short.
Amy,3,4,tall,Amy's height is 3 feet 4 inches.,Amy is tall.
Amy,3,4,short,Amy's height is 3 feet 4 inches.,Amy is short.
Amy,3,5,tall,Amy's height is 3 feet 5 inches.,Amy is tall.
Amy,3,5,short,Amy's height is 3 feet 5 inches.,Amy is short.
Amy,3,6,tall,Amy's height is 3 feet 6 inches.,Amy is tall.
Amy,3,6,short,Amy's height is 3 feet 6 inches.,Amy is short.
Amy,3,7,tall,Amy's height is 3 feet 7 inches.,Amy is tall.
Amy,3,7,short,Amy's height is 3 feet 7 inches.,Amy is short.
Amy,3,8,tall,Amy's height is 3 feet 8 inches.,Amy is tall.
Amy,3,8,short,Amy's height is 3 feet 8 inches.,Amy is short.
Amy,3,9,tall,Amy's height is 3 feet 9 inches.,Amy is tall.
Amy,3,9,short,Amy's height is 3 feet 9 inches.,Amy is short.
Amy,3,10,tall,Amy's height is 3 feet 10 inches.,Amy is tall.
Amy,3,10,short,Amy's height is 3 feet 10 inches.,Amy is short.
Amy,3,11,tall,Amy's height is 3 feet 11 inches.,Amy is tall.
Amy,3,11,short,Amy's height is 3 feet 11 inches.,Amy is short.
Amy,4,1,tall,Amy's height is 4 feet 1 inches.,Amy is tall.
Amy,4,1,short,Amy's height is 4 feet 1 inches.,Amy is short.
Amy,4,2,tall,Amy's height is 4 feet 2 inches.,Amy is tall.
Amy,4,2,short,Amy's height is 4 feet 2 inches.,Amy is short.
Amy,4,3,tall,Amy's height is 4 feet 3 inches.,Amy is tall.
Amy,4,3,short,Amy's height is 4 feet 3 inches.,Amy is short.
Amy,4,4,tall,Amy's height is 4 feet 4 inches.,Amy is tall.
Amy,4,4,short,Amy's height is 4 feet 4 inches.,Amy is short.
Amy,4,5,tall,Amy's height is 4 feet 5 inches.,Amy is tall.
Amy,4,5,short,Amy's height is 4 feet 5 inches.,Amy is short.
Amy,4,6,tall,Amy's height is 4 feet 6 inches.,Amy is tall.
Amy,4,6,short,Amy's height is 4 feet 6 inches.,Amy is short.
Amy,4,7,tall,Amy's height is 4 feet 7 inches.,Amy is tall.
Amy,4,7,short,Amy's height is 4 feet 7 inches.,Amy is short.
Amy,4,8,tall,Amy's height is 4 feet 8 inches.,Amy is tall.
Amy,4,8,short,Amy's height is 4 feet 8 inches.,Amy is short.
Amy,4,9,tall,Amy's height is 4 feet 9 inches.,Amy is tall.
Amy,4,9,short,Amy's height is 4 feet 9 inches.,Amy is short.
Amy,4,10,tall,Amy's height is 4 feet 10 inches.,Amy is tall.
Amy,4,10,short,Amy's height is 4 feet 10 inches.,Amy is short.
Amy,4,11,tall,Amy's height is 4 feet 11 inches.,Amy is tall.
Amy,4,11,short,Amy's height is 4 feet 11 inches.,Amy is short.
