sentence,name,vshort,short,average,tall,vtall
Sammy is 51.08 cm tall.,Sammy,1,1.0958894657769777e-7,1.6778327119987737e-8,3.472312570898234e-9,0
Tracey is 51.1 cm.,Tracey,1,1.097783419680108e-7,1.6801256158962026e-8,3.4762091198676115e-9,0
Stella 's height is 51.12 cm.,Stella,1,1.0996810567243735e-7,1.6824220455293136e-8,3.4801105887214615e-9,0
Crystal is 51.13 cm tall.,Crystal,1,1.1006312589112218e-7,1.6835715843790695e-8,3.4820631702618777e-9,0
Alice is 51.14 cm tall.,Alice,1,1.1015823848698694e-7,1.684722006922944e-8,3.4840169843629335e-9,0
Patti 's height is 51.15 cm.,Patti,1,1.1025344355982874e-7,1.6858733139158126e-8,3.4859720318891877e-9,0
Della 's height is 51.16 cm.,Della,1,1.103487412095629e-7,1.6870255061132588e-8,3.487928313705861e-9,0
Alicia 's height is 51.17 cm.,Alicia,1,1.1044413153622428e-7,1.688178584271577e-8,3.489885830678857e-9,0
Debra 's height is 51.18 cm.,Debra,1,1.1053961463996588e-7,1.6893325491477744e-8,3.491844583674725e-9,0
Ella is 51.19 cm tall.,Ella,1,1.1063519062106021e-7,1.6904874014995598e-8,3.493804573560712e-9,0
Skylar is 51.2 cm tall.,Skylar,1,1.107308595798989e-7,1.691643142085373e-8,3.4957658012047093e-9,0
Sally is 51.21 cm tall.,Sally,1,1.1082662161699308e-7,1.6927997716643475e-8,3.497728267475303e-9,0
Gerald is 51.22 cm.,Gerald,1,1.1092247683297297e-7,1.693957290996339e-8,3.4996919732417215e-9,0
Archie is 51.24 cm tall.,Archie,1,1.111144672047115e-7,1.696275001962385e-8,3.503623106742374e-9,0
Madeleine is 51.25 cm.,Madeleine,1,1.1121060256233e-7,1.6974351951197204e-8,3.505590536218442e-9,0
Ann is 51.27 cm.,Ann,1,1.1140315412661745e-7,1.69975826059661e-8,3.509529124981735e-9,0
Kendall is 51.29 cm tall.,Kendall,1,1.1159608083177724e-7,1.7020849033829512e-8,3.5134726926472704e-9,0
Neil is 51.31 cm.,Neil,1,1.1178938349006656e-7,1.7044151296006042e-8,3.5174212462093766e-9,0
Trenton is 51.33 cm.,Trenton,1,1.1198306291567642e-7,1.706748945382954e-8,3.5213747926731606e-09,0
Olga is 51.34 cm.,Olga,1,1.1208004417119184e-7,1.7079172012807306e-8,3.5233534404352524e-9,0
Nathan 's height is 51.35 cm.,Nathan,1,1.1217711992473835e-7,1.7090863568749358e-8,3.5253333390545845e-9,0
Charles is 51.36 cm.,Charles,1,1.122742902786366e-7,1.7102564129354952e-8,3.5273144894098644e-9,0
Ginger is 51.37 cm.,Ginger,1,1.1237155533532894e-7,1.711427370233058e-8,3.529296892380445e-9,0
Brandy is 51.38 cm.,Brandy,1,1.1246891519737932e-7,1.7125992295390016e-8,3.5312805488463796e-9,0
Ezra is 51.4 cm tall.,Ezra,1,1.126639197484235e-7,1.714945657265166e-8,3.5352516257878977e-9,0
Jose is 51.41 cm.,Jose,1,1.1276156464315737e-7,1.7161202272317677e-8,3.5372390480269796e-9,0
Vivian is 51.42 cm tall.,Vivian,1,1.128593047547303e-7,1.7172957022995287e-8,3.5392277272884155e-9,0
Cesar 's height is 51.43 cm.,Cesar,1,1.129571401863193e-7,1.7184720832434558e-8,3.5412176644556462e-9,0
Edmund 's height is 51.44 cm.,Edmund,1,1.1305507104122395e-7,1.719649370839296e-8,3.5432088604128215e-9,0
Ira is 51.46 cm.,Ira,1,1.1325121943479666e-7,1.7220066690933513e-8,3.5471950322369635e-9,0
Gregory is 51.47 cm.,Gregory,1,1.1334943718068061e-7,1.723186681306713e-8,3.5491900098756157e-9,0
Lance is 51.48 cm.,Lance,1,1.1344775076431326e-7,1.7243676032822806e-8,3.5511862498476024e-9,0
Rick 's height is 51.49 cm.,Rick,1,1.13546160289612e-7,1.725549435799468e-8,3.5531837530404838e-9,0
Stacy 's height is 51.5 cm.,Stacy,1,1.1364466586061754e-7,1.7267321796384088e-8,3.5551825203424947e-9,0
Bethany is 51.51 cm.,Bethany,1,1.1374326758149552e-7,1.727915835579982e-8,3.5571825526425822e-9,0
Ryan is 51.52 cm tall.,Ryan,1,1.1384196555653593e-7,1.7291004044057992e-8,3.5591838508303683e-9,0
Paul is 51.53 cm.,Paul,1,1.139407598901522e-7,1.73028588689821e-8,3.561186415796154e-9,0
Archie 's height is 51.54 cm.,Archie,1,1.1403965068688347e-7,1.7314722838403016e-8,3.563190248430939e-9,0
Jennifer 's height is 51.55 cm.,Jennifer,1,1.1413863805139305e-7,1.7326595960158982e-8,3.5651953496264244e-9,0
Harry is 51.56 cm.,Harry,1,1.1423772208846945e-7,1.733847824209565e-8,3.567201720274977e-9,0
Avery 's height is 51.58 cm.,Avery,1,1.1443618060010137e-7,1.736227031793065e-8,3.5712182735042555e-9,0
Caden is 51.61 cm tall.,Caden,1,1.1473459603871085e-7,1.739802732960528e-8,3.577252646595419e-9,0
Robin is 51.62 cm tall.,Robin,1,1.148342623187602e-7,1.740996473779951e-8,3.5792666527410515e-9,0
Colleen is 51.63 cm tall.,Colleen,1,1.149340260084067e-7,1.7421911361301474e-8,3.5812819346057764e-9,0
Randolph 's height is 51.64 cm.,Randolph,1,1.1503388721344411e-7,1.743386720801632e-8,3.5832984930875095e-9,0
Cynthia is 51.66 cm.,Cynthia,1,1.1523390259349856e-7,1.7457806602741946e-8,3.5873354434971555e-9,0
Anne 's height is 51.68 cm.,Anne,1,1.1543430930780432e-7,1.748178298536608e-8,3.5913775111672634e-9,0
Damian 's height is 51.69 cm.,Damian,1,1.155346596811316e-7,1.74937850669821e-8,3.5934004662271786e-9,0
Tristan 's height is 51.7 cm.,Tristan,1,1.1563510820727222e-7,1.7505796419398152e-8,3.5954247033062445e-9,0
Daisy is 51.71 cm.,Daisy,1,1.1573565499290833e-7,1.751781705057166e-8,3.5974502233072587e-9,0
Sandy 's height is 51.74 cm.,Sandy,1,1.1603788597552291e-7,1.755393469632395e-8,3.6035344898804317e-9,0
Julio is 51.75 cm tall.,Julio,1,1.1613882686851394e-7,1.75659925222519e-8,3.6055651506112e-9,0
Mckenna is 51.76 cm tall.,Mckenna,1,1.1623986655632718e-7,1.7578059666837328e-8,3.6075970987884035e-9,0
Alfred is 51.77 cm tall.,Alfred,1,1.1634100514641249e-7,1.759013613808285e-8,3.609630335319059e-9,0
Celia is 51.78 cm.,Celia,1,1.1644224274634811e-7,1.7602221943998578e-8,3.6116648611108594e-9,0
Michael is 51.79 cm tall.,Michael,1,1.1654357946384115e-7,1.7614317092602343e-8,3.61370067707222e-9,0
Dylan is 51.8 cm.,Dylan,1,1.1664501540672805e-7,1.7626421591919445e-8,3.615737784112254e-9,0
Geraldine is 51.81 cm.,Geraldine,1,1.1674655068297357e-7,1.7638535449982826e-8,3.617776183140782e-9,0
Lisa is 51.83 cm tall.,Lisa,1,1.1694991966804773e-7,1.7662791274517886e-8,3.6218568608061154e-9,0
Brett is 51.84 cm.,Brett,1,1.1705175359345358e-7,1.7674933257093458e-8,3.6238991412660965e-9,0
Tamara 's height is 51.86 cm.,Tamara,1,1.1725572085241787e-7,1.7699245403177195e-8,3.627987590003891e-9,0
Pearl is 51.87 cm.,Pearl,1,1.1735785440333275e-7,1.7711415582834916e-8,3.6300337601091104e-9,0
Keith is 51.89 cm.,Keith,1,1.1756242189239418e-7,1.7735784195813157e-8,3.634129996366061e-9,0
Charlotte is 51.9 cm.,Charlotte,1,1.1766485604867897e-7,1.7747982645329066e-8,3.6361800643494584e-9,0
Jaime is 51.91 cm tall.,Jaime,1,1.1776739062510969e-7,1.7760190534339187e-8,3.6382314334584208e-9,0
Darren is 51.93 cm.,Darren,1,1.179727614761244e-7,1.7784634663317155e-8,3.6423380787242325e-9,0
Julie is 51.95 cm tall.,Julie,1,1.1817853532218077e-7,1.7809116647774066e-8,3.646449939512911e-9,0
Taylor is 51.96 cm.,Taylor,1,1.1828157364290665e-7,1.7821371856161746e-8,3.6485078280281514e-9,0
Janice 's height is 51.97 cm.,Janice,1,1.1838471304212466e-7,1.783363655286003e-8,3.6505670231853134e-9,0
Cheryl is 51.98 cm tall.,Cheryl,1,1.184879536300203e-7,1.7845910746032035e-8,3.6526275259062873e-9,0
Elizabeth is 51.99 cm tall.,Elizabeth,1,1.1859129551691107e-7,1.7858194443848533e-8,3.6546893371136933e-9,0
Alvin 's height is 52 cm.,Alvin,1,1.1869473881324615e-7,1.7870487654487936e-8,3.6567524577308405e-9,0
Ada is 52.01 cm.,Ada,1,1.1879828362960803e-7,1.7882790386136573e-8,3.6588168886817727e-9,0
Sonya is 52.02 cm tall.,Sonya,1,1.1890193007671193e-07,1.7895102646988433e-8,3.6608826308912456e-9,0
Jimmy 's height is 52.03 cm.,Jimmy,1,1.1900567826540484e-7,1.790742444524521e-8,3.6629496852847336e-9,0
Selena 's height is 52.04 cm.,Selena,1,1.1910952830666789e-7,1.7919755789116423e-8,3.6650180527884304e-9,0
Cassandra is 52.05 cm tall.,Cassandra,1,1.1921348031161484e-7,1.7932096686819434e-8,3.667087734329253e-9,0
Megan is 52.06 cm tall.,Megan,1,1.1931753439149303e-7,1.794444714657924e-8,3.6691587308348185e-9,0
Guy is 52.08 cm.,Guy,1,1.1952594922169916e-7,1.796917678520855e-8,3.6733046724543475e-9,0
Rick is 52.1 cm.,Rick,1,1.1973477368993804e-7,1.7993944770960883e-8,3.6774558850824927e-9,0
Bentley 's height is 52.11 cm.,Bentley,1,1.1983933981785976e-7,1.800634316465377e-8,3.6795334703515455e-9,0
Kurt 's height is 52.13 cm.,Kurt,1,1.2004878042156257e-7,1.803116879503266e-8,3.6836926034594076e-9,0
Don 's height is 52.14 cm.,Don,1,1.201536551218497e-7,1.8043596048286042e-8,3.685774153164326e-9,0
Rene is 52.15 cm tall.,Rene,1,1.2025863290432287e-7,1.8056032937973392e-8,3.687857026215179e-9,0
Elijah 's height is 52.16 cm.,Elijah,1,1.2036371388157211e-7,1.806847947239804e-8,3.689941223546823e-9,0
Naomi 's height is 52.17 cm.,Naomi,1,1.2046889816632357e-7,1.8080935659871198e-8,3.6920267460948513e-9,0
Miguel is 52.18 cm.,Miguel,1,1.2057418587143805e-7,1.8093401508711968e-8,3.694113594795582e-9,0
Addison is 52.19 cm tall.,Addison,1,1.2067957710991247e-7,1.8105877027247244e-8,3.696201770586058e-9,0
Daphne 's height is 52.2 cm.,Daphne,1,1.2078507199487948e-7,1.8118362223811992e-8,3.6982912744040495e-9,0
Manuel 's height is 52.21 cm.,Manuel,1,1.2089067063960775e-7,1.8130857106748905e-8,3.700382107188072e-9,0
Elisa 's height is 52.22 cm.,Elisa,1,1.2099637315750174e-7,1.8143361684408658e-8,3.7024742698773433e-9,0
Elaine 's height is 52.24 cm.,Elaine,1,1.2120809026708915e-7,1.8168399957339188e-8,3.7066625887322298e-9,0
Carolyn 's height is 52.25 cm.,Carolyn,1,1.2131410508627426e-7,1.81809336693509e-8,3.7087587467799525e-9,0
Zachary 's height is 52.26 cm.,Zachary,1,1.2142022423361e-7,1.819347710956745e-8,3.710856238497169e-9,0
Nancy is 52.27 cm tall.,Nancy,1,1.2152644782318466e-7,1.8206030286379292e-8,3.7129550648267683e-9,0
Garry is 52.28 cm tall.,Garry,1,1.2163277596922372e-7,1.8218593208184656e-8,3.7150552267123585e-9,0
Marshall 's height is 52.29 cm.,Marshall,1,1.2173920878609016e-7,1.8231165883389834e-8,3.7171567250983102e-9,0
Jay is 52.31 cm tall.,Jay,1,1.219523888904464e-7,1.8256340527664863e-8,3.7213637351523868e-9,0
Clara is 52.32 cm.,Clara,1,1.220591364073507e-7,1.8268942513587156e-8,3.72346924871289e-9,0
Joanna is 52.33 cm.,Joanna,1,1.2216598905391293e-7,1.828155428661431e-8,3.725576102558533e-9,0
Daisy is 52.34 cm tall.,Daisy,1,1.222729469451857e-7,1.829417585519259e-8,3.7276842976373495e-9,0
Jimmy is 52.35 cm tall.,Jimmy,1,1.2238001019636031e-7,1.8306807227776266e-8,3.729793834898099e-9,0
Jeanne 's height is 52.36 cm.,Jeanne,1,1.2248717892276716e-7,1.8319448412827653e-8,3.731904715290311e-9,0
Nikki 's height is 52.37 cm.,Nikki,1,1.2259445323987538e-7,1.8332099418817082e-8,3.734016939764223e-9,0
Hector is 52.39 cm tall.,Hector,1,1.2280931910876678e-7,1.8357430927531685e-8,3.7382454247618565e-9,0
Clinton 's height is 52.4 cm.,Clinton,1,1.229169108921842e-7,1.837011144723781e-8,3.7403616871897874e-9,0
Arthur is 52.41 cm.,Arthur,1,1.2302460872957143e-7,1.8382801821843818e-8,3.742479297507822e-9,0
Kurt is 52.42 cm tall.,Kurt,1,1.231324127370947e-7,1.8395502059860452e-8,3.744598256669923e-9,0
Violet 's height is 52.43 cm.,Violet,1,1.232403230310602e-7,1.8408212169806362e-8,3.746718565630774e-9,0
Sue 's height is 52.45 cm.,Sue,1,1.2345646294424324e-7,1.8433662039601487e-8,3.750963236771272e-9,0
Barry is 52.48 cm tall.,Barry,1,1.2378147287805763e-7,1.8471911097197967e-8,3.7573403908829215e-9,0
Tina 's height is 52.49 cm.,Tina,1,1.2389002334096807e-7,1.848468061806686e-8,3.759468818726654e-9,0
Jill is 52.5 cm tall.,Jill,1,1.2399868090839855e-7,1.8497460070723222e-8,3.761598603072866e-9,0
Ezekiel is 52.51 cm tall.,Ezekiel,1,1.2410744569778205e-7,1.85102494637508e-8,3.763729744882235e-9,0
Bonnie is 52.52 cm.,Bonnie,1,1.242163178266933e-7,1.8523048805741463e-8,3.765862245116169e-9,0
Collin 's height is 52.53 cm.,Collin,1,1.2432529741284769e-7,1.853585810529526e-8,3.76799610473682e-9,0
Elsie is 52.54 cm tall.,Elsie,1,1.2443438457410374e-7,1.8548677371020415e-8,3.770131324707095e-9,0
Jacob is 52.55 cm.,Jacob,1,1.2454357942846215e-7,1.8561506611533332e-8,3.772267905990668e-9,0
Natasha is 52.56 cm.,Natasha,1,1.246528820940654e-7,1.8574345835458625e-8,3.774405849551936e-9,0
Eugene 's height is 52.57 cm.,Eugene,1,1.2476229268919867e-7,1.858719505142909e-8,3.776545156356059e-9,0
Darius 's height is 52.58 cm.,Darius,1,1.2487181133229043e-7,1.8600054268085758e-8,3.778685827368963e-9,0
Mitchell is 52.59 cm tall.,Mitchell,1,1.2498143814191174e-7,1.8612923494077866e-8,3.780827863557313e-9,0
Brittany is 52.6 cm tall.,Brittany,1,1.250911732367765e-7,1.8625802738062887e-8,3.7829712658885206e-9,0
Payton is 52.61 cm tall.,Payton,1,1.252010167357428e-7,1.8638692008706526e-8,3.785116035330769e-9,0
Arthur 's height is 52.62 cm.,Arthur,1,1.2531096875781136e-7,1.8651591314682768e-8,3.787262172852976e-9,0
Maxwell is 52.63 cm tall.,Maxwell,1,1.254210294221271e-7,1.8664500664673733e-8,3.789409679424838e-9,0
Wendell is 52.64 cm.,Wendell,1,1.2553119884797873e-7,1.8677420067370013e-8,3.791558556016786e-9,0
Therese 's height is 52.65 cm.,Therese,1,1.256414771547992e-7,1.8690349531470266e-8,3.7937088036000345e-9,0
Katrina is 52.66 cm tall.,Katrina,1,1.2575186446216525e-7,1.870328906568154e-8,3.7958604231465235e-9,0
Allie 's height is 52.67 cm.,Allie,1,1.2586236088979887e-7,1.8716238678719156e-8,3.798013415628976e-9,0
Pamela 's height is 52.68 cm.,Pamela,1,1.2597296655756597e-7,1.8729198379306726e-8,3.800167782020852e-9,0
Stuart is 52.69 cm.,Stuart,1,1.2608368158547763e-7,1.8742168176176163e-8,3.802323523296385e-9,0
Shirley is 52.71 cm tall.,Shirley,1,1.2630544020250514e-7,1.8768138093729907e-8,3.806639134399172e-9,0
Allison is 52.72 cm.,Allison,1,1.2641648403236864e-7,1.8781138231919665e-8,3.808799006178677e-9,0
Sara is 52.73 cm tall.,Sara,1,1.2652763770387349e-07,1.8794148501402196e-8,3.8109602567463775e-9,0
Irving is 52.75 cm tall.,Irving,1,1.2675027505490638e-7,1.882019946934829e-8,3.815286898159269e-9,0
Paul 's height is 52.77 cm.,Paul,1,1.2697335322326242e-7,1.8846291067857208e-8,3.819619066471295e-9,0
Julius is 52.79 cm.,Julius,1,1.2719687317894242e-7,1.8872423367351874e-8,3.823956769528146e-9,0
Tessa is 52.8 cm.,Tessa,1,1.2730879913079653e-7,1.8885504802012797e-8,3.8261276990410206e-9,0
Naomi is 52.81 cm.,Naomi,1,1.2742083589429648e-7,1.8898596438389694e-8,3.828300015187785e-9,0
Ricardo is 52.82 cm tall.,Ricardo,1,1.275329835913539e-7,1.8911698285323165e-8,3.830473718952607e-9,0
Paige 's height is 52.83 cm.,Paige,1,1.2764524234402837e-7,1.892481035166242e-8,3.83264881132041e-9,0
Leonardo is 52.84 cm.,Leonardo,1,1.2775761227452647e-7,1.8937932646265005e-8,3.834825293276908e-9,0
Skylar is 52.85 cm.,Skylar,1,1.278700935052032e-7,1.8951065177996847e-8,3.837003165808555e-9,0
Dennis is 52.86 cm.,Dennis,1,1.2798268615856164e-7,1.896420795573251e-8,3.839182429902598e-9,0
Gabrielle 's height is 52.87 cm.,Gabrielle,1,1.2809539035725321e-7,1.8977360988354827e-8,3.841363086547034e-9,0
